Month,State,Cases,Deaths
Mar,Northern Mariana Islands,0,0
Apr,Northern Mariana Islands,0,0
May,Northern Mariana Islands,0,0
June,Northern Mariana Islands,0,0
July,Northern Mariana Islands,0,0
Jan,Ohio,0,0
Feb,Ohio,0,0
Mar,Ohio,0,0
Apr,Ohio,0,0
May,Ohio,0,0
June,Ohio,0,0
July,Ohio,0,0
Jan,Oklahoma,0,0
Feb,Oklahoma,0,0
Mar,Oklahoma,0,0
Apr,Oklahoma,0,0
May,Oklahoma,0,0
June,Oklahoma,0,0
July,Oklahoma,0,0
Jan,Oregon,0,0
Feb,Oregon,0,0
Mar,Oregon,0,0
Apr,Oregon,0,0
May,Oregon,0,0
June,Oregon,0,0
July,Oregon,0,0
Jan,Pennsylvania,0,0
Feb,Pennsylvania,0,0
Mar,Pennsylvania,0,0
Apr,Pennsylvania,0,0
May,Pennsylvania,0,0
June,Pennsylvania,0,0
July,Pennsylvania,0,0
Jan,Puerto Rico,0,0
Feb,Puerto Rico,0,0
Mar,Puerto Rico,0,0
Apr,Puerto Rico,0,0
May,Puerto Rico,0,0
June,Puerto Rico,0,0
July,Puerto Rico,0,0
Jan,Rhode Island,0,0
Feb,Rhode Island,0,0
Mar,Rhode Island,0,0
Apr,Rhode Island,0,0
May,Rhode Island,0,0
June,Rhode Island,0,0
July,Rhode Island,0,0
Jan,South Carolina,0,0
Feb,South Carolina,0,0
Mar,South Carolina,0,0
Apr,South Carolina,0,0
May,South Carolina,0,0
June,South Carolina,0,0
July,South Carolina,0,0
Jan,South Dakota,0,0
Feb,South Dakota,0,0
Mar,South Dakota,0,0
Apr,South Dakota,0,0
May,South Dakota,0,0
June,South Dakota,0,0
July,South Dakota,0,0
Month,State,0,0
Jan,Tennessee,0,0
Feb,Tennessee,0,0
Mar,Tennessee,0,0
Apr,Tennessee,0,0
May,Tennessee,0,0
June,Tennessee,0,0
July,Tennessee,0,0
Jan,Texas,0,0
Feb,Texas,0,0
Mar,Texas,0,0
Apr,Texas,0,0
May,Texas,0,0
June,Texas,0,0
July,Texas,0,0
Jan,Utah,0,0
Feb,Utah,0,0
Mar,Utah,0,0
Apr,Utah,0,0
May,Utah,0,0
June,Utah,0,0
July,Utah,0,0
Jan,Vermont,0,0
Feb,Vermont,0,0
Mar,Vermont,0,0
Apr,Vermont,0,0
May,Vermont,0,0
June,Vermont,0,0
July,Vermont,0,0
Jan,Virgin Islands,0,0
Feb,Virgin Islands,0,0
Mar,Virgin Islands,0,0
Apr,Virgin Islands,0,0
May,Virgin Islands,0,0
June,Virgin Islands,0,0
July,Virgin Islands,0,0
Jan,Virginia,0,0
Feb,Virginia,0,0
Mar,Virginia,0,0
Apr,Virginia,0,0
May,Virginia,0,0
June,Virginia,0,0
July,Virginia,0,0
Jan,Washington,0,0
Feb,Washington,0,0
Mar,Washington,0,0
Apr,Washington,0,0
May,Washington,0,0
June,Washington,0,0
July,Washington,0,0
Jan,West Virginia,0,0
Feb,West Virginia,0,0
Mar,West Virginia,0,0
Apr,West Virginia,0,0
May,West Virginia,0,0
June,West Virginia,0,0
July,West Virginia,0,0
Jan,Wisconsin,0,0
Feb,Wisconsin,0,0
Mar,Wisconsin,0,0
Apr,Wisconsin,0,0
May,Wisconsin,0,0
June,Wisconsin,0,0
July,Wisconsin,0,0
Jan,Wyoming,0,0
Feb,Wyoming,0,0
Mar,Wyoming,0,0
Apr,Wyoming,0,0
May,Wyoming,0,0
June,Wyoming,0,0
July,Wyoming,0,0
